id,campaignId,clickCount
id_1,campaign_1,4
id_2,campaign_2,366
id_3,campaign_3,222
id_4,campaign_4,937
id_5,campaign_5,192
id_6,campaign_6,826
id_7,campaign_7,107
id_8,campaign_8,776
id_9,campaign_9,704
id_10,campaign_10,321
id_11,campaign_11,713
id_12,campaign_12,461
id_13,campaign_13,882
id_14,campaign_14,429
id_15,campaign_15,313
id_16,campaign_16,621
id_17,campaign_17,219
id_18,campaign_18,42
id_19,campaign_19,622
id_20,campaign_20,676
id_21,campaign_21,106
id_22,campaign_22,400
id_23,campaign_23,264
id_24,campaign_24,257
id_25,campaign_25,602
id_26,campaign_26,530
id_27,campaign_27,959
id_28,campaign_28,242
id_29,campaign_29,153
id_30,campaign_30,334
id_31,campaign_31,230
id_32,campaign_32,232
id_33,campaign_33,610
id_34,campaign_34,154
id_35,campaign_35,728
id_36,campaign_36,982
id_37,campaign_37,546
id_38,campaign_38,238
id_39,campaign_39,248
id_40,campaign_40,345
id_41,campaign_41,516
id_42,campaign_42,289
id_43,campaign_43,468
id_44,campaign_44,321
id_45,campaign_45,94
id_46,campaign_46,33
id_47,campaign_47,102
id_48,campaign_48,259
id_49,campaign_49,782
id_50,campaign_50,48
id_51,campaign_51,359
id_52,campaign_52,692
id_53,campaign_53,491
id_54,campaign_54,24
id_55,campaign_55,436
id_56,campaign_56,574
id_57,campaign_57,483
id_58,campaign_58,73
id_59,campaign_59,286
id_60,campaign_60,344
id_61,campaign_61,234
id_62,campaign_62,33
id_63,campaign_63,245
id_64,campaign_64,664
id_65,campaign_65,195
id_66,campaign_66,486
id_67,campaign_67,912
id_68,campaign_68,29
id_69,campaign_69,549
id_70,campaign_70,292
id_71,campaign_71,739
id_72,campaign_72,348
id_73,campaign_73,818
id_74,campaign_74,742
id_75,campaign_75,135
id_76,campaign_76,211
id_77,campaign_77,772
id_78,campaign_78,536
id_79,campaign_79,141
id_80,campaign_80,650
id_81,campaign_81,859
id_82,campaign_82,472
id_83,campaign_83,279
id_84,campaign_84,947
id_85,campaign_85,762
id_86,campaign_86,41
id_87,campaign_87,140
id_88,campaign_88,387
id_89,campaign_89,637
id_90,campaign_90,308
id_91,campaign_91,172
id_92,campaign_92,441
id_93,campaign_93,479
id_94,campaign_94,323
id_95,campaign_95,539
id_96,campaign_96,140
id_97,campaign_97,194
id_98,campaign_98,343
id_99,campaign_99,998
id_100,campaign_100,582
